date,open,high,low,close,volume
12/21/2020,302.2985,305.2676,299.4773,304.725,37095480
12/22/2020,305.6424,306.4912,302.6782,305.5536,26378343
12/23/2020,305.603,305.9679,303.8521,304.0148,20874388
12/24/2020,304.2812,305.8101,304.2022,305.3564,16784997
12/28/2020,308.0098,308.9173,306.1455,308.434,22497745
12/29/2020,309.7854,310.4118,307.7928,308.7102,25580638
12/30/2020,309.8939,310.2194,308.0887,308.72,18138071
12/31/2020,308.6214,309.9728,307.5265,309.4796,21611412
1/4/2021,310.831,311.0085,301.0358,305.1097,45305898
1/5/2021,304.1036,307.9013,304.1036,307.6251,28648671
1/6/2021,302.8311,307.6449,301.825,303.3638,52809622
1/7/2021,306.0666,311.5511,306.037,310.7028,30028651
1/8/2021,313.0307,315.0529,310.8028,314.6978,33955847
1/11/2021,311.6892,312.8827,309.4895,310.1504,32869095
1/12/2021,310.1898,311.2946,306.9741,309.6571,29266762
1/13/2021,309.9235,312.5572,309.3119,311.7484,22365173
1/14/2021,312.2021,313.2181,309.5995,310.0813,23500129
1/15/2021,309.8643,310.8409,306.3625,307.6251,35118718
1/19/2021,309.9827,312.6263,308.868,312.1133,23638134
1/20/2021,315.7927,320.3302,312.211,319.3734,29903030
1/21/2021,320.7347,322.6878,319.3339,321.9282,25316935
1/22/2021,320.8728,322.0269,320.3006,321.001,21119445
1/25/2021,324.4436,325.8344,317.0454,323.6545,38825106
1/26/2021,324.3844,325.2821,322.7765,324.1279,25498112
1/27/2021,321.8296,321.8394,313.0504,315.0923,55263985
1/28/2021,316.3155,321.9874,315.6842,316.9567,42836324
1/29/2021,315.2403,316.3641,308.5129,310.2885,55259018
2/1/2021,313.7903,319.1465,311.7286,318.0417,35646008
2/2/2021,321.0602,324.4041,320.8925,323.2303,33930844
2/3/2021,325.3412,325.7111,321.8888,321.9479,24824518
2/4/2021,323.3684,325.8443,322.0269,325.7555,22350947
2/5/2021,326.7222,327.8887,325.0552,326.8603,22731960
2/8/2021,328.5767,329.208,326.9096,329.0502,20462812
2/9/2021,328.1032,330.2635,328.0933,328.9811,17597478
2/10/2021,330.441,330.9046,325.0256,328.2314,28068700
2/11/2021,329.79,330.4509,327.61,330.0366,22046071
2/12/2021,329.1784,332.0489,328.1131,331.8812,20346819
2/16/2021,332.6901,333.5976,329.7999,330.9836,27080777
2/17/2021,327.9553,331.099,325.6865,329.3954,31467456
2/18/2021,325.7457,329.3324,323.9011,327.9553,32236240
2/19/2021,329.3264,329.4546,325.4892,326.5249,39157677
2/22/2021,322.0663,323.3487,317.8543,318.0615,47256944
2/23/2021,312.6953,318.8111,306.7768,317.1145,97241936
2/24/2021,314.4117,320.0442,311.6694,319.7285,58206272
2/25/2021,317.0257,319.6299,307.0135,308.582,110182582
2/26/2021,311.5609,314.7767,306.6584,309.8742,104739841
3/1/2021,314.9345,319.5411,313.6176,319.1958,49164518
3/2/2021,319.8469,319.9258,313.8198,314.0763,48370034
3/3/2021,312.9617,313.9185,304.9026,304.9618,86301073
3/4/2021,304.5869,307.8027,296.0347,299.9705,139131582
3/5/2021,302.6289,305.4047,293.4108,304.4883,121523726
3/8/2021,303.9359,305.8496,295.4428,295.867,88409781
3/9/2021,303.2947,309.4697,302.7522,307.5363,80391114
3/10/2021,311.8667,312.1725,305.9581,306.6584,76798065
3/11/2021,311.482,315.5165,310.5745,313.7212,53484804
